YEAR,COUNTRY_NAME,OBS_VALUE_AUD_COUNTRY,IMPORT_VALUE_BILLION_AUD,OBS_VALUE_AUD_MARKET,MARKET_SHARE_%,YOY_GROWTH_%
2020,Indonesia,27128000,0.027128,3134767000,0.8653912715043893,41.380029184907215
2021,Indonesia,65787000,0.065787,4049700000,1.6244907030150382,142.505897965202
2022,Indonesia,51467000,0.051467,5215394000,0.9868286077715317,-21.767218447413626
2023,Indonesia,203715000,0.203715,4745636000,4.292680686002888,295.8167369382323
2024,Indonesia,996626000,0.996626,5951293000,16.746377635918783,389.22563385121373
2025,Indonesia,22399000,0.022399,5361091000,0.41780674866365825,-97.75251699233213
2026,Indonesia,13129000,0.013129,2779327000,0.47238054392304324,-41.38577615072101
2015,Japan,1844095000,1.844095,5039409000,36.5934775288134,
2016,Japan,193578000,0.193578,2533806000,7.639811414133521,-89.50281845566525
2017,Japan,234914000,0.234914,3058142000,7.681592287081503,21.353666222401312
2018,Japan,273330000,0.27333,3900867000,7.00690384983646,16.353218624688193
2019,Japan,220179000,0.220179,3270335000,6.732613019767088,-19.445724947865216
2020,Japan,256419000,0.256419,3134767000,8.179842393390004,16.459335358957937
2021,Japan,110281000,0.110281,4049700000,2.7231893720522504,-56.991876577008725
2022,Japan,176072000,0.176072,5215394000,3.3760057245914687,59.65760194412455
2023,Japan,232483000,0.232483,4745636000,4.898879728660184,32.038597846335584
2024,Japan,192915000,0.192915,5951293000,3.2415644801894308,-17.019739077696006
2025,Japan,216004000,0.216004,5361091000,4.029105269804225,11.968483529015362
2026,Japan,95547000,0.095547,2779327000,3.4377746843030703,-55.766096924131034
2015,Malaysia,65397000,0.065397,5039409000,1.2977116959548234,
2016,Malaysia,53831000,0.053831,2533806000,2.124511505616452,-17.6858265669679
2017,Malaysia,82789000,0.082789,3058142000,2.7071666390900093,53.79428210510673
2018,Malaysia,189525000,0.189525,3900867000,4.858535294845992,128.92534032298974
2019,Malaysia,107448000,0.107448,3270335000,3.285534968130176,-43.306687772061736
2020,Malaysia,79813000,0.079813,3134767000,2.546058447087136,-25.719417764872322
2021,Malaysia,52545000,0.052545,4049700000,1.2975035187791688,-34.16486036109405
2022,Malaysia,64965000,0.064965,5215394000,1.2456393515044117,23.63688267199542
2023,Malaysia,115005000,0.115005,4745636000,2.423384347219214,77.02609097206188
2024,Malaysia,112134000,0.112134,5951293000,1.8841955857323778,-2.4964131994261063
2025,Malaysia,256732000,0.256732,5361091000,4.78880138389742,128.95107639074678
2026,Malaysia,30985000,0.030985,2779327000,1.1148382324210142,-87.93099418849228
2015,South Korea,111166000,0.111166,5039409000,2.2059332751122205,
2016,South Korea,79981000,0.079981,2533806000,3.1565557899855006,-28.052641994854543
2017,South Korea,115579000,0.115579,3058142000,3.7793863071106575,44.508070666783375
2018,South Korea,140712000,0.140712,3900867000,3.6071980921164446,21.745299751685
2019,South Korea,85280000,0.08528,3270335000,2.6076839222893065,-39.393939393939405
2020,South Korea,84316000,0.084316,3134767000,2.689705486883076,-1.1303939962476472
2021,South Korea,114834000,0.114834,4049700000,2.8356174531446774,36.19479102424214
2022,South Korea,199914000,0.199914,5215394000,3.8331523946225348,74.08955535816919
2023,South Korea,177680000,0.17768,4745636000,3.7440713952776825,-11.121782366417566
2024,South Korea,197627000,0.197627,5951293000,3.320740551675073,11.226361999099499
2025,South Korea,232131000,0.232131,5361091000,4.3299209060245385,17.459152848548023
2026,South Korea,94260000,0.09426,2779327000,3.391468510182501,-59.39361825865568
2015,Taiwan,245760000,0.24576,5039409000,4.876762334630906,
2016,Taiwan,195302000,0.195302,2533806000,7.707851350892689,-20.531412760416668
2017,Taiwan,249245000,0.249245,3058142000,8.150210160286866,27.620300867374613
2018,Taiwan,261807000,0.261807,3900867000,6.711507980149029,5.040020863006278
2019,Taiwan,184670000,0.18467,3270335000,5.646822114554014,-29.463306939845
2020,Taiwan,188985000,0.188985,3134767000,6.028677729477183,2.336600422375046
2021,Taiwan,253691000,0.253691,4049700000,6.264439341185766,34.23869619281954
2022,Taiwan,271861000,0.271861,5215394000,5.212664661576863,7.162256445833726
2023,Taiwan,210490000,0.21049,4745636000,4.435443426339483,-22.574403831369704
2024,Taiwan,210214000,0.210214,5951293000,3.532240808846078,-0.13112261865171337
2025,Taiwan,192861000,0.192861,5361091000,3.59742074887369,-8.254921175563956
2026,Taiwan,101739000,0.101739,2779327000,3.660562431120915,-47.24749949445456
